"type","twcrps","owcrps","percentile","percentile_value"
"upper",2.52192672800628,2.52192672800628,0,-Inf
"upper",0.426226392389411,1.01108122360657,0.9,53.341
"upper",0.269696080043017,0.979746217987624,0.95,60.45
"upper",0.159869320831521,1.00137456198512,0.975,68.76025
"upper",0.0908448667883149,1.09019466532557,0.99,78.7761
"lower",2.52192672800628,2.52192672800628,1,Inf
"lower",0.489117934487877,1.20444939760473,0.1,16.89
"lower",0.333374393219844,1.29072383053232,0.05,9.96
"lower",0.215374340334653,1.31766893001732,0.025,0.85
"lower",0.166798189926646,2.18421112084888,0.01,-6.1281
